site,sources,BFI_avg,summer_sum,totalppt_2004_2018_cm,BasinGIS_km2,r50_DevelopedOpen2011,r50_DeciduousForest2011,r50_UrbanTotal2011,r50_ForestTotal2011,r50_CanopyCover2011,r50_Imperviousness2011,DevelopedOpen2011,DevelopedLow2011,DevelopedMed2011,DevelopedHigh2011,DeciduousForest2011,EvergreenForest2011,ShrubScrub2011,GrasslandHerb2011,WoodyWetlands2011,UrbanLMH2011,ForestTotal2011,WetlandsTotal2011,Canopy2011,Imperviousness2011,NatWetlandsInvTotal,PopDensityBLK2010,HousDensityBLK2010,RoadDensity2014,StreamDensity,Slope,SandContent,PctHydrGrpB,PctHydrGrpB_D,PctHydrGrpC,PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D,s_name,norm_min,norm_median,norm_99,norm_90,norm_70,norm_base,norm_Qsum,norm_BFI,norm_mincv,norm_mediancv,norm_99cv,norm_90cv,norm_70cv,norm_basecv,norm_Qsumcv,norm_BFIcv,nonlog_mincv,nonlog_mediancv,nonlog_99cv,nonlog_90cv,nonlog_70cv,nonlog_basecv,nonlog_Qsumcv,nonlog_BFIcv
13,2094659,0.136105575,325.8088235,1657.5024,18.9199,55.2632,0,100,0,55.0263,21.4276,27.1919,30.5076,21.9923,17.6823,1.8743,0.4091,0.0285,0.1427,0,70.1822,2.2834,0,33.2479,42.7109,0.7948,1077.1427,549.8606,8.0091,1.2936,4.4517,26.9451,39.7,5,40.6,0.2,5.8,2094659,-0.148148986,-0.593922403,-0.09837587,-0.142648275,-0.397796372,-0.699902886,0.694627748,-1.558794501,-2.129127777,-0.64418385,-2.928606506,-2.4614186,-0.942405803,-0.579867604,0.672316073,-0.288474224,0.595937148,0.221495592,0.439564122,0.386071089,0.278765393,0.259628108,0.224797354,0.234369246
14,2095181,0.186773707,313.4164706,1637.2078,24.7287,75.4839,0,100,0,42.8581,16.6258,43.7097,36.406,10.9174,7.3802,1.1754,0.0619,0,0,0.0218,54.7036,1.321,0.0218,46.7347,28.5398,0.5678,915.3334,441.1365,11.2,1.4214,4.6636,27.2645,60.5,2.3,25.3,0,2.3,2095181,-0.076901426,-0.473069557,-0.153683353,-0.169936896,-0.361751476,-0.570750848,0.171604606,-0.90970574,-7.984860068,-0.97262326,-4.264469712,-3.607639993,-1.460007132,-0.845384171,2.526133899,-0.50790759,0.779929973,0.2522575,0.773362567,0.601236463,0.375749287,0.296899457,0.195955209,0.224109098
16,2097280,0.11044174,347.8882353,1760.8804,38.1182,4.7059,5.2941,6.4706,7.0588,91.7294,0.7353,48.8526,23.9742,10.6544,2.7929,4.7287,2.8708,0.0212,0.7153,3.8529,37.4215,8.7067,3.8529,55.2411,19.7796,5.3358,1036.8648,462.9138,9.9208,1.5341,6.2115,19.9825,13.2,6.2,1.2,65.2,76.9,2097280,-1.424190234,-0.893349985,-1.410555675,-1.610656932,-1.171775422,-1.236494909,0.218878697,-1.830859494,-0.549101475,-0.648449698,-0.656657671,-0.858555112,-0.498399677,-0.496291549,3.526082371,-0.279298503,1.182239848,0.359348363,0.995576605,0.786983971,0.522664952,0.354367222,0.356278811,0.266400334
18,2097517,0.468971013,358.2123529,1801.622,106.0439,12.6087,56.5217,23.4783,59.5652,79.3217,5.0565,12.1115,4.6722,2.5703,0.6203,41.6922,16.6275,0.6576,3.5894,0.146,7.8627,63.2702,0.1816,75.2298,4.4581,1.3826,330.344,135.1844,5.2934,1.6119,7.4286,30.0004,63.4,2.8,6.5,11.2,15,2097517,0.830298937,0.136229526,0.806352799,0.688991949,0.364293186,0.329921599,-0.588875826,0.974114569,0.16794998,3.868653574,0.175630682,0.264730332,0.940001335,1.255593094,-1.413344216,0.39886974,0.254949974,0.40021778,0.250956137,0.256431566,0.352425531,0.308165227,0.409895889,0.197406433
24,2146110,0.249912997,288.3476471,1610.9188,18.1961,72.5352,3.5211,96.4789,3.5211,75.8451,10.3592,57.9619,26.327,8.9355,3.588,1.6556,0.7611,0,0,0.2817,38.8504,2.7874,0.2817,58.2973,21.431,0.5197,1046.203,514.4503,8.5855,3.7832,4.1403,27.2812,4,0.8,0.9,1.7,2.4,2146110,-0.277349004,-0.892124524,-0.313717305,-0.771418188,-0.918666866,-0.748334215,-0.53325668,-0.498633849,-2.036021545,-1.091067992,-1.900444142,-0.963459692,-0.849686693,-0.993278543,-1.364179513,-1.119841911,0.830361374,0.444691586,0.762299076,0.646878554,0.462705289,0.408219748,0.330725794,0.231853307
26,2146409,0.226238718,341.4988235,1700.5808,31.3452,1.8519,0,100,0,14.9814,68.3704,19.5246,31.0281,23.8911,23.3428,1.6163,0.1837,0.0316,0.1522,0.1321,78.262,1.8,0.1321,33.9784,48.8356,0.376,1121.8905,573.6934,12.0755,3.1645,3.6273,27.3352,49.2,3.5,4.7,6.5,10,2146409,0.876394641,0.151264299,0.840271092,0.709363567,0.440300101,0.281304508,1.016417153,-0.559503824,0.128172651,2.020578294,0.149998026,0.22144788,0.565356007,0.931190722,0.41927956,-0.579746082,0.200482845,0.199112037,0.212194729,0.183282313,0.195446427,0.177106561,0.203792804,0.166274998
28,2146470,0.180102578,339.5752941,1702.9176,6.7791,60.2041,0,100,0,73.3878,16.2449,32.6742,45.6536,11.2276,10.4446,0,0,0,0,0,67.3258,0,0,49.0313,33.6226,0,1486.7285,793.2552,9.8039,3.1725,4.3005,27.2645,73.3,2.9,8.6,0,2.9,2146470,-0.402245589,-0.775827344,-0.425367625,-0.299326648,-0.584089976,-0.721071605,0.075769948,-1.020196541,-1.790034878,-0.709002393,-1.915579835,-1.189320783,-0.616039959,-0.594368308,7.177124729,-0.359210234,0.826179602,0.315659062,0.720243139,0.40269893,0.249144152,0.262012021,0.266084517,0.183998557
30,2146562,0.156397904,347.7711765,1774.825,14.7483,80.8824,0,92.6471,0,76.9044,7.9706,45.2087,29.5349,12.8479,6.6711,4.0833,0.6897,0,0.0732,0.6592,49.054,4.7729,0.6592,51.6038,27.0519,2.6117,1764.1195,784.4195,9.032,3.9845,3.5609,28.2253,64.2,5.2,10.1,15.2,20.4,2146562,-1.077141545,-0.868117555,-0.995479195,-0.870723354,-0.825647593,-1.086388893,-0.130853681,-1.312772953,-0.7884484,-0.521513737,-0.939272494,-1.111208593,-0.644334527,-0.468436648,-4.494184132,-0.457633751,1.180178166,0.29112328,0.913456371,0.6918638,0.363447825,0.335775762,0.313087603,0.305081314
32,2146700,0.127702237,333.2835294,1662.1506,15.0818,54.1353,27.0677,69.1729,30.8271,74.9549,7.5489,36.343,32.1629,11.9551,5.876,9.029,2.7589,0.0179,0.9256,0.1254,49.994,12.0924,0.1254,45.2031,26.0094,0.9248,593.9291,282.6544,12.8045,2.5331,4.0784,28.1162,57.9,4.6,16,17.5,22.1,2146700,-0.434612486,-1.0585409,-0.411626153,-0.560793514,-0.884666101,-1.16439662,0.174975868,-1.69559831,-1.496728558,-0.359422734,-1.501307497,-0.735213091,-0.559219978,-0.361307098,2.943579448,-0.284398124,0.69749771,0.232650765,0.672948146,0.55564723,0.354026011,0.284112872,0.257465729,0.251555182
35,2160326,0.587047502,337.8476471,1844.3702,219.2995,13.2076,55.8491,32.0755,56.2264,67.8038,9.9887,23.779,15.1917,5.827,2.7128,28.1203,6.1816,0.6452,5.7966,2.3956,23.7314,34.5317,2.4419,52.9293,12.3574,2.2589,431.3771,183.6096,6.9098,1.4556,8.1638,31.506,87.9,1.2,0.9,1.9,9.7,2160326,1.375870762,1.634331838,1.363916232,1.455499354,1.56865497,1.693978892,0.873780706,1.433880064,0.137016034,0.277345093,0.140645971,0.190692138,0.259195492,0.238880461,0.737759366,0.078309841,0.340785729,0.270264134,0.323766661,0.337075885,0.307745597,0.267898942,0.296740078,0.056693957
