site,sources,BFI_avg,summer_sum,totalppt_2004_2018_cm,BasinGIS_km2,r50_DevelopedOpen2011,r50_DeciduousForest2011,r50_UrbanTotal2011,r50_ForestTotal2011,r50_CanopyCover2011,r50_Imperviousness2011,DevelopedOpen2011,DevelopedLow2011,DevelopedMed2011,DevelopedHigh2011,DeciduousForest2011,EvergreenForest2011,ShrubScrub2011,GrasslandHerb2011,WoodyWetlands2011,UrbanLMH2011,ForestTotal2011,WetlandsTotal2011,Canopy2011,Imperviousness2011,NatWetlandsInvTotal,PopDensityBLK2010,HousDensityBLK2010,RoadDensity2014,StreamDensity,Slope,SandContent,PctHydrGrpB,PctHydrGrpB_D,PctHydrGrpC,PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D,s_name,norm_min,norm_median,norm_99,norm_90,norm_70,norm_base,norm_Qsum,norm_BFI,norm_mincv,norm_mediancv,norm_99cv,norm_90cv,norm_70cv,norm_basecv,norm_Qsumcv,norm_BFIcv,nonlog_mincv,nonlog_mediancv,nonlog_99cv,nonlog_90cv,nonlog_70cv,nonlog_basecv,nonlog_Qsumcv,nonlog_BFIcv
46,2335870,0.359013088,326.3211765,1907.8448,79.5973,17.8899,30.2752,26.1468,66.5138,77.1927,4.1101,38.1852,25.8277,8.5697,4.8881,8.4249,11.8046,0.0938,0.2137,0.5066,39.2854,20.5925,0.5066,52.2972,21.413,1.4764,902.4933,371.9017,10.6739,1.0277,6.8804,34.2615,70.4,0.4,0.7,9,14,2335870,0.589697433,0.723603217,0.562579547,0.602040233,0.703075466,0.689353316,0.559330402,0.396990852,0.672527163,0.853044294,0.758505958,0.83661832,0.765352526,0.828633836,1.464806564,0.849894588,0.845653085,0.384396384,0.897234097,0.647054706,0.428843213,0.394382176,0.381560929,0.160735601
47,2335910,0.257943726,333.5476471,1905.635,47.9663,23.6842,30,65.7895,31.579,63.8158,21.7684,24.1571,26.5962,22.2358,16.0347,3.7957,5.3943,0.197,0.4597,0.4916,64.8667,9.3307,0.4916,35.5912,40.1267,0.8444,1177.1014,605.426,12.6219,0.7644,5.3785,34.906,53.8,0.2,0.2,2.9,7.7,2335910,0.774387247,0.66220318,0.738886436,0.728228685,0.724379683,0.652226476,1.195137655,-0.233993892,0.298629922,0.706359942,0.301157768,0.442044607,0.584674942,0.659261121,0.481693269,-1.147241685,0.387443589,0.294306033,0.357378174,0.351444441,0.34903303,0.289133612,0.263197905,0.125757847
48,2336120,0.23654828,370.3776471,2027.3772,88.3942,43.5185,8.3333,88.4259,8.3333,57.2593,27.5509,30.6061,23.6258,15.7668,12.7501,6.3155,9.095,0.0407,0.0774,0.8685,52.1427,15.7322,0.899,47.3339,32.2276,1.688,1449.7849,609.9907,10.1116,0.9608,6.9321,34.2783,66.9,1.4,0.4,0.2,4.3,2336120,0.398297941,0.367461047,0.380868601,0.331392693,0.415406646,0.23767038,0.804704955,-0.423237036,1.024946317,1.262321749,1.080727307,1.495474176,1.267473837,2.160507475,0.851107667,-0.934656254,0.781260394,0.28316228,0.71489896,0.561581748,0.388391484,0.335669779,0.30663848,0.173110217
49,2336152,0.28772546,344.4858824,1957.0192,14.6924,30.8271,26.3158,39.8496,60.1504,78.4286,5.0602,27.7876,27.3162,14.0469,10.1096,4.7456,15.0389,0,0.0796,0.3552,51.4727,19.9008,0.3552,47.0147,29.3999,1.0168,1299.7388,594.3958,10.6035,0.9033,5.0004,34.2612,65.5,0,0.6,0,4.8,2336152,0.240766151,0.2221868,0.210970463,0.128571353,0.237262812,0.219098166,0.313004848,0.00238268,3.313512145,2.632878286,3.727086457,5.460339869,2.886111861,2.424701183,2.021567199,130.9447787,0.677541221,0.269233418,0.654776672,0.521766444,0.336932076,0.268147982,0.272559523,0.155173568
50,2336410,0.317897574,346.3629412,1955.927,96.5177,18.1416,38.0531,28.3186,66.3717,77.0929,5.3894,32.5472,20.5797,13.0521,8.5655,11.2718,11.837,0.0233,0.1296,0.318,42.1973,23.7905,0.3255,54.581,25.5838,1.7483,1046.2732,527.2464,8.9125,1.0444,7.6174,34.3472,45.3,0.5,0.8,0,4.2,2336410,0.373807516,0.586560559,0.431288112,0.531043783,0.591169329,0.452020943,0.535076039,0.106237147,1.526847526,0.90052598,1.163578285,0.841663277,0.921505616,1.236474817,1.507295334,4.518651852,0.903799231,0.315659821,0.795512359,0.529041823,0.408873607,0.368607721,0.340486312,0.227965376
51,2336526,0.26431862,344.6417647,1960.2196,34.7661,18.1818,57.9545,23.2955,69.8864,82.2784,3.0568,23.7028,29.5158,18.0735,12.1258,7.3485,5.5671,0.6499,1.0435,0.057,59.7152,13.2289,0.057,45.4869,34.5464,0.1475,1342.7668,712.0635,12.5055,1.4949,7.8704,36.2703,0.5,0.1,1.4,0,3.6,2336526,0.545505849,0.082354892,0.525687743,0.407914333,0.242894372,0.106673195,0.387833581,-0.214365019,0.499377012,6.318191155,0.545464036,0.843953855,1.871854107,4.312606324,1.683178179,-2.210773775,0.525733938,0.301857598,0.510322114,0.396840585,0.323878088,0.28569171,0.31267436,0.270082248
52,2337410,0.498028146,323.4535294,1959.7116,170.6413,0.7692,59.6154,1.9231,95.7692,73.7462,0.35,10.3307,5.9456,1.2456,0.4082,33.6837,22.899,3.6879,4.6113,1.0052,7.5994,56.8917,1.0495,67.6166,3.7303,2.3444,136.5584,53.7581,3.3745,3.1537,8.6095,36.0379,75.2,7.9,3.6,11.2,19.1,2337410,0.28475963,0.799203437,0.229502474,0.341217043,0.564456708,0.963754625,0.222959662,1.066746983,1.498371915,0.937031612,1.989490175,1.647633309,1.339346729,0.643369143,4.13315176,0.427207354,0.862375215,0.465057785,0.862449211,0.671988318,0.574392012,0.43449999,0.437226743,0.183156447
53,2338840,0.421663891,289.9452941,1875.6376,232.9793,0,18.251,0,24.7148,75.1483,0,4.9237,2.2394,0.2766,0.0757,23.7936,31.5524,7.7043,7.3628,4.7422,2.5917,56.7675,4.9292,72.714,1.3158,5.233,36.9451,15.9471,2.2675,2.8433,5.9915,34.3776,88.9,4.7,0.6,3.6,8.6,2338840,-0.191310591,0.203328958,-0.243538297,-0.41311839,-0.109578748,0.390630063,-0.330691888,0.817821782,-2.633322129,3.795303122,-2.330013787,-2.186831069,-7.996188203,1.694486912,-3.005544013,0.292408733,0.718209342,0.403244285,0.75831097,0.86531843,0.511202398,0.4066768,0.446761985,0.123339705
54,2344620,0.346246718,320.3076471,1912.7724,62.1303,18.5714,29.5238,18.5714,40.9524,70.3714,1.1762,15.0218,9.707,1.7151,1.2183,18.8924,27.2392,2.3829,4.1314,4.3342,12.6403,46.5995,4.3646,63.3796,6.457,4.7962,208.7194,76.0122,3.8878,1.53,5.0337,34.3396,96.1,0,1.2,1.3,1.3,2344620,-0.540750203,0.570844417,-0.502209598,-0.364085241,0.138855873,0.43766862,0.1199507,0.467323672,-1.137273248,1.491358866,-1.210443227,-1.919936062,6.267445084,1.257978104,7.252882811,0.873122224,0.895289174,0.405327406,0.810926027,0.607161168,0.523816648,0.346631589,0.38227318,0.201771411
33,21473426,0.229742636,280.0235294,1646.5804,25.0315,8.642,70.3704,8.642,78.3951,92.8457,0.2037,16.0476,4.207,1.014,0.7515,27.2554,10.1543,0.7587,3.2829,0.7299,5.9725,39.8907,0.8234,51.2951,3.7867,2.0958,188.5451,71.2511,5.2542,5.7986,4.2039,30.4983,69,6.4,7,16.4,22.9,21473426,-1.341594859,-1.581627492,-1.39461278,-1.741290377,-1.699214761,-1.391462053,-1.439513532,-0.517088029,-0.558103842,-0.680595818,-0.583051213,-0.604961258,-0.552708685,-0.563137815,-0.67744427,-0.79322702,1.152538535,0.555763219,1.05476539,0.698597005,0.530529005,0.480060995,0.427940193,0.192487202
34,21473428,0.213528827,278.1152941,1625.3968,76.6617,6.1611,65.4029,9.9526,68.7204,75.0474,2.3981,24.7676,13.8846,5.0066,2.1095,24.2804,7.4823,0.4672,3.585,0.6762,21.0006,33.6937,0.7219,53.4801,11.337,1.7961,436.1823,174.4913,7.513,4.7104,4.1594,29.6928,41.5,6,8,12.1,18.1,21473428,-1.151253963,-1.21433903,-1.107053424,-1.172001872,-1.280727799,-1.233785823,-1.073640585,-0.644095186,-0.619965339,-0.520023437,-0.524434393,-0.431174468,-0.465683888,-0.512732223,-0.811601658,-0.657213598,0.950120918,0.390074498,0.849486528,0.523066615,0.403757357,0.43234816,0.421909048,0.206558968
6,208524090,0.287592449,337.7229412,1802.3078,20.5979,3.4247,85.6164,3.4247,93.1507,89.9315,0.0342,6.867,2.2366,0.2883,0,42.22,6.5394,1.7342,3.9009,0.2665,2.5249,52.2191,0.2665,64.9889,1.336,0.9529,53.5269,22.6831,3.0392,1.3619,6.2825,23.649,77.5,10.5,4.2,5,17.8,208524090,-1.2653489,-1.055162152,-1.400208391,-1.620379848,-1.469205006,-0.820331645,-1.079362254,-0.093659287,-0.618511197,-0.838620622,-0.613227896,-0.619597522,-0.661409822,-0.884871872,-1.015681097,-7.595084013,0.835871212,0.452409565,0.802651442,0.986995731,0.696342644,0.398702066,0.463316126,0.321439841
9,208732885,0.195415211,335.0723529,1699.3108,17.7687,43.5714,36.4286,62.8571,36.4286,63.6214,12.4929,41.7245,21.1584,24.2216,7.2958,2.1417,1.7721,0.0506,0.3899,0,52.6758,4.4707,0,36.6954,31.7828,1.0981,1224.3053,551.1551,9.1143,1.4125,4.097,30.9242,7.2,4.4,0.5,6,10.4,208732885,-0.116671055,-0.02778433,0.060286323,0.282333135,0.159200933,-0.251157028,0.530504442,-0.816818208,-8.488519822,-12.07754063,12.13945045,1.03243401,1.84990238,-1.354274371,0.645747728,-0.534410574,0.718625431,0.210592242,0.629268876,0.331296812,0.236460362,0.23374537,0.152795973,0.217221838
15,209722970,0.112598145,347.2635294,1843.6844,12.1356,49.5798,27.7311,55.4622,42.0168,79.2941,3.3277,38.145,19.4321,16.7853,5.3084,8.3704,8.3852,0.0445,0.1483,0.2076,41.5258,19.8028,0.2076,53.5896,23.8898,0.5857,1188.7701,475.3025,8.807,1.3914,6.5781,20.1195,21.3,2.7,0.1,61.1,70,209722970,-0.413541145,-0.607841621,-0.39311303,-0.337287014,-0.447252185,-0.94027356,0.532104266,-1.726980965,-1.055660231,-0.946653468,-1.197204927,-1.575682199,-0.954226373,-0.614534723,1.581277848,-0.284721887,0.612131698,0.350798873,0.612400353,0.634471133,0.391542928,0.356962873,0.39566654,0.229730384
17,209734440,0.213491164,353.0205882,1827.0728,20.8103,25,61.1842,25,75,93.4145,0.9605,21.221,10.1263,1.803,0.441,31.3516,21.7096,0.6226,3.7011,0.6399,12.3703,55.7593,0.6399,76.4796,6.185,1.319,476.9945,185.577,5.8896,1.1522,5.4991,26.3084,55.5,2.8,18.8,13.1,25.1,209734440,-1.16874696,-0.854237325,-1.21227619,-0.957110869,-1.062941522,-0.845811856,-0.255482572,-0.881450681,-0.840920443,-0.813640122,-0.825103154,-0.695902994,-0.733166376,-0.66688477,-3.277749014,-0.598416038,1.451145824,0.493006787,1.357446345,0.812399407,0.628934148,0.39780283,0.415750702,0.244614333
19,212393300,0.344543335,308.3447059,1681.0736,53.5941,26.5306,14.7959,26.5306,14.7959,84.1429,1.3673,15.1261,6.6131,1.8882,0.423,35.3699,8.2949,1.6617,7.2005,1.6986,8.9243,44.4603,1.7439,61.0304,4.7873,2.5943,225.3245,80.8319,4.4939,3.2277,6.8265,29.7668,61.7,11.6,19.8,5.8,17.8,212393300,0.025033306,-0.517057875,0.015528476,-0.207322013,-0.477673485,-0.513989847,-1.024287597,0.259879802,21.57886559,-1.149214368,34.28170629,-2.428800859,-1.114884903,-1.886385064,-0.916182323,2.812509932,0.600433194,0.331176072,0.546976679,0.426619719,0.392239934,0.387554552,0.417610922,0.294845867
20,212430653,0.24453304,354.9523529,1779.7526,14.8986,57.6923,0.7692,71.5385,0.7692,81.9077,7.1923,29.6287,13.6674,1.9559,0.1026,30.0996,9.5261,0.3924,4.1232,1.0685,15.7259,40.1207,1.1047,62.4977,7.6796,3.1935,511.4173,183.4853,7.1917,3.7251,6.1573,29.047,80.9,8.1,4.2,5.3,13.9,212430653,-0.53935411,-0.834123987,-0.499258852,-0.572208638,-0.729453976,-0.813973999,-0.87740363,-0.270151847,-1.275767569,-0.665963609,-1.428550584,-0.639375389,-0.583098748,-0.682962618,-1.08017572,-1.601396994,0.888734547,0.311889378,0.731020971,0.484083414,0.295398643,0.334192587,0.447477385,0.242543993
21,212466000,0.319556021,336.91,1708.0992,29.2363,1.2048,48.1928,1.2048,50.6024,50.7048,0.1205,18.6165,5.0895,0.9785,0.3323,32.2635,15.204,0.5631,6.3296,1.9386,6.4004,48.9476,2.0032,63.1059,3.8041,2.8594,189.864,73.7829,5.9322,3.7917,5.9691,28.5177,82.1,8.4,5.6,3.3,11.9,212466000,-0.933617422,-0.777032439,-0.96841572,-0.81502881,-0.722177406,-0.652939172,-1.04881046,0.09910394,-1.123681877,-0.675188943,-1.118207849,-0.800392181,-0.655897327,-0.783190683,-1.055259834,6.034344436,0.870678275,0.324843339,0.824650696,0.541291371,0.389699969,0.352999518,0.514003729,0.308432467
22,212467595,0.286590873,340.6641176,1732.5848,28.5797,3.1056,93.1677,3.1056,96.2733,93.7391,0.1304,27.4049,9.8558,1.4763,0.2172,30.4143,11.776,0.6894,1.3315,1.2843,11.5494,43.7893,1.2843,60.5729,6.0188,2.6537,364.2132,131.562,6.174,3.6224,4.4919,23.145,72.8,5.5,11.9,9,14.4,212467595,-0.007594398,-0.59202203,-0.00163245,-0.198209607,-0.474267629,-0.531154392,-0.581229377,-0.16833639,-48.2399021,-0.813961747,-204.4700354,-1.854933272,-0.948652652,-0.941736382,-1.484748976,-2.273599928,0.542953101,0.29291996,0.449004723,0.384913655,0.343099785,0.337161279,0.393274631,0.196842214
23,214265808,0.305351599,309.1382353,1672.7678,18.7044,27.9412,30.1471,30.1471,31.6177,66.4412,2.5735,31.1337,21.3169,9.2684,2.0345,17.3729,4.0498,1.8037,4.526,1.188,32.6199,21.668,1.188,50.5106,17.2057,2.686,547.9112,235.6974,8.1866,2.8566,4.6252,26.6156,53,8.9,23.9,0.1,21.9,214265808,0.103899085,-0.378023492,0.031310047,-0.156298294,-0.288490476,-0.484323541,-0.853411453,0.142576404,2.822868486,-1.389508991,10.00365702,-2.318098156,-1.59704329,-0.932538209,-0.618145126,3.120163477,0.455977463,0.335764647,0.471988638,0.458135071,0.413994369,0.278766709,0.240148782,0.237229636
25,214627970,0.444314947,339.8841176,1698.3202,23.4799,66.0377,1.2579,97.4843,2.5157,58.566,18.6667,23.6838,34.4777,15.1161,10.0659,6.1461,1.958,0.2759,1.5787,0.1035,59.6598,8.2343,0.1035,39.3386,32.2517,1.1575,796.5446,338.5265,9.4897,3.1655,5.3846,29.0307,61.1,4,13.3,1.2,5.1,214627970,1.390441064,1.342301552,1.437922664,1.529631997,1.499395777,1.39840716,1.087086812,0.848862973,0.126821477,0.264532496,0.097937099,0.114438777,0.164866368,0.233839903,0.375336142,0.343809157,0.298723357,0.210112311,0.240188491,0.201543465,0.188108394,0.21364439,0.193559327,0.142095281
27,214642825,0.215662963,362.7394118,1786.9154,13.202,69.7674,7.7519,84.4961,7.7519,73.1473,8.8295,46.2251,34.3077,10.5342,4.5653,3.0117,0.586,0,0.5519,0.2112,49.4072,3.5977,0.2112,52.2922,25.3064,0.9944,1493.8156,598.2551,8.4295,3.8068,3.5468,27.7955,53.2,3.9,8,30.7,34.6,214642825,-0.902748887,-0.545276523,-0.774814324,-0.672851183,-0.427426153,-0.650603101,-0.165289905,-0.706603897,-1.024362812,-1.073751217,-1.334970663,-1.680652942,-1.373602162,-0.923666534,-3.377997489,-1.038021517,0.997709775,0.334871028,0.832833484,0.680610637,0.377662927,0.366993065,0.245564861,0.329106784
29,214655255,0.205003858,341.2035294,1761.1598,18.9283,48.6111,26.3889,56.9444,26.3889,83.25,4.3472,48.0409,30.7133,5.9629,2.0827,8.1265,2.135,0,1.2126,0.4232,38.7589,10.5326,0.4232,54.6616,18.7712,2.0165,1253.8191,513.3513,9.3077,3.3733,4.1649,29.0208,66.4,5.1,12.4,14.4,20.1,214655255,-0.609661166,-0.813619628,-0.626919242,-0.488455323,-0.719324517,-0.885766404,-0.419874715,-0.783649348,-1.185333111,-0.503843324,-1.269368261,-0.852119443,-0.7035458,-0.514465264,-1.456017242,-0.815473069,0.618607957,0.241704361,0.62804602,0.364800277,0.393958957,0.296844764,0.296337109,0.321717673
31,214657975,0.244771856,336.9841176,1761.1598,21.6176,18.9543,28.1046,20.915,33.3333,85.0262,1.3595,46.0417,12.2226,2.4945,0.5789,19.1854,9.7197,0.2499,1.0744,1.4575,15.2959,30.4752,1.4575,62.5169,8.8642,2.9382,539.2777,220.4894,6.6101,3.435,4.4196,29.047,83.1,6,6.4,3.6,9.9,214657975,-1.270851787,-1.267730331,-1.057652129,-0.949545887,-1.150976345,-1.02498046,-0.908257706,-0.520149612,-0.770036511,-0.536677043,-0.890061652,-0.618595452,-0.581607434,-0.570591483,-0.99069774,-1.182119622,1.208418927,0.417591447,1.010571902,0.565312399,0.514327221,0.3885702,0.403636342,0.338026412
